SessionKey,DriverNo,LapNo,LapTime,NoPits,PitIn,PitOut,PitStopDuration,Compound,TyreAge,Sector1_Time,Sector2_Time,Sector3_Time,LapStartTime,LapStartDate,Speed_I1,Speed_I2,Speed_FL,Speed_ST,TrackStatus,IsDeleted,DeletionMessage,Driver
9574.0,1,21.0,0 days 00:01:49.273000,1.0,,,,HARD,10.0,0 days 00:00:30.823000,0 days 00:00:49.246000,0 days 00:00:29.204000,0 days 01:32:07.655000,2024-07-28 13:40:45.633,344,199,219,314,1,False,,[1] VER - Red Bull Racing
9574.0,1,22.0,0 days 00:01:48.448000,1.0,,,,HARD,11.0,0 days 00:00:31.091000,0 days 00:00:48.204000,0 days 00:00:29.153000,0 days 01:33:56.995000,2024-07-28 13:42:34.973,316,204,220,313,1,False,,[1] VER - Red Bull Racing
9574.0,1,23.0,0 days 00:01:48.494000,1.0,,,,HARD,12.0,0 days 00:00:31.211000,0 days 00:00:48.197000,0 days 00:00:29.086000,0 days 01:35:45.308000,2024-07-28 13:44:23.286,313,205,217,312,1,False,,[1] VER - Red Bull Racing
9574.0,1,24.0,0 days 00:01:48.154000,1.0,,,,HARD,13.0,0 days 00:00:31.173000,0 days 00:00:48.096000,0 days 00:00:28.885000,0 days 01:37:33.865000,2024-07-28 13:46:11.843,315,207,218,313,1,False,,[1] VER - Red Bull Racing
9574.0,1,25.0,0 days 00:01:47.921000,1.0,,,,HARD,14.0,0 days 00:00:31.127000,0 days 00:00:47.886000,0 days 00:00:28.908000,0 days 01:39:22.107000,2024-07-28 13:48:00.085,,205,219,314,1,False,,[1] VER - Red Bull Racing
9574.0,1,26.0,0 days 00:01:47.815000,1.0,,,,HARD,15.0,0 days 00:00:31.124000,0 days 00:00:47.815000,0 days 00:00:28.876000,0 days 01:41:10.003000,2024-07-28 13:49:47.981,316,206,219,,1,False,,[1] VER - Red Bull Racing
9574.0,1,27.0,0 days 00:01:47.431000,1.0,,,,HARD,16.0,0 days 00:00:31.032000,0 days 00:00:47.549000,0 days 00:00:28.850000,0 days 01:42:57.775000,2024-07-28 13:51:35.753,317,206,220,315,1,False,,[1] VER - Red Bull Racing
9574.0,1,1.0,,0.0,0 days 00:17:56.710000,,,HARD,2.0,,0 days 00:00:52.573000,0 days 00:00:29.298000,0 days 00:55:14.763000,2024-07-28 13:03:52.741,313,202,,300,1,False,,[1] VER - Red Bull Racing
9574.0,1,28.0,0 days 00:01:52.026000,1.0,0 days 01:46:33.171000,,,HARD,17.0,0 days 00:00:31.021000,0 days 00:00:47.724000,0 days 00:00:33.281000,0 days 01:44:45.250000,2024-07-28 13:53:23.228,316,205,219,,1,False,,[1] VER - Red Bull Racing
9574.0,1,29.0,0 days 00:02:00.489000,2.0,,0 days 01:46:56.099000,,MEDIUM,0.0,0 days 00:00:45.265000,0 days 00:00:46.585000,0 days 00:00:28.639000,0 days 01:46:37.143000,2024-07-28 13:55:15.121,313,211,,311,1,False,,[1] VER - Red Bull Racing
