season,session,round,position,number,driver,team,col_5,col_6,col_7,col_8
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",320N. NatoNATPertamina Arden,10,1:39.696,0.789,0.031,195.426,20:10:36,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",45L. GhiottoGHIRUSSIAN TIME,10,1:39.948,1.041,0.252,194.933,20:11:07,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",52A. FuocoFUOPREMA Racing,11,1:39.585,0.678,-,195.643,20:10:12,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",67N. MatsushitaMATART Grand Prix,10,1:40.011,1.104,0.063,194.810,20:26:41,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",76A. MarkelovMARRUSSIAN TIME,10,1:40.018,1.111,0.007,194.796,20:11:10,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",89O. RowlandROWDAMS,10,1:40.053,1.146,0.035,194.728,20:26:27,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",98A. AlbonALBART Grand Prix,10,1:40.140,1.233,0.087,194.559,20:11:19,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1014S. Sette CâmaraSETMP Motorsport,11,1:40.168,1.261,0.028,194.505,20:26:44,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1115J. KingKINMP Motorsport,10,1:40.201,1.294,0.033,194.441,20:10:21,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1219J. CecottoCECRapax,11,1:40.262,1.355,0.061,194.322,20:10:18,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1310N. LatifiLATDAMS,11,1:40.280,1.373,0.018,194.287,20:26:34,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",143L. DelétrazDELRacing Engineering,11,1:40.453,1.546,0.173,193.953,20:09:45,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1511R. BoschungBOSCampos Racing,11,1:40.501,1.594,0.028,193.860,20:26:36,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",1616N. JeffriJEFTrident,9,1:41.604,2.697,0.188,191.756,20:11:16,
2017,race,"ROUND 1

14
-
16
April

Sakhir
Results",174G. MaljaMALRacing Engineering,9,1:40.473,1.566,0.020,193.914,20:09:54,
