	short_date	id_races	grandPrixId	circuitId	latitude_hourly	longitude_hourly	average_temp	total_precipitation	average_humidity	average_wind_speed
48	2017-07-09	965	austria	spielberg	47.205623626708984	14.828710556030273	71.2676	0.015748031	68.91621	2.704012
49	2017-07-16	966	great-britain	silverstone	52.056236267089844	-0.992645263671875	65.6105	0.062992126	78.1318	10.137107
50	2017-07-30	967	hungary	hungaroring	47.5571174621582	19.24342155456543	74.3753	0.0	58.749752	4.9663444
51	2017-08-27	968	belgium	spa-francorchamps	50.43936538696289	5.873015880584717	64.4606	0.003937008	80.42511	3.9030945
52	2017-09-03	969	italy	monza	45.588748931884766	9.339622497558594	63.4847	0.0	64.59354	3.642186
53	2017-09-17	970	singapore	marina-bay	1.3005272150039673	103.86256408691406	80.83895	0.79133856	84.73272	8.199997
54	2017-10-01	971	malaysia	sepang	2.776801347732544	101.7108383178711	78.71315	1.1614174	88.95611	3.2648346
55	2017-10-08	972	japan	suzuka	34.833038330078125	136.5399169921875	70.724	0.23622048	86.18339	2.9957561
56	2017-10-22	973	united-states	austin	30.123022079467773	-97.67523193359375	72.7007	1.5393701	74.51598	13.270821
57	2017-10-29	974	mexico	mexico-city	19.43760871887207	-99.10714721679688	60.524902	0.007874016	63.52356	4.29794
58	2017-11-12	975	brazil	interlagos	-23.7258358001709	-46.66314697265625	66.060646	0.0	71.401184	5.258589
59	2017-11-26	976	abu-dhabi	yas-marina	24.499120712280273	54.615386962890625	74.1176	0.0	56.501633	10.200219
60	2018-03-25	977	australia	melbourne	-37.85588836669922	145.01339721679688	60.3644	0.21653543	59.072147	15.591442
61	2018-04-08	978	bahrain	bahrain	26.045692443847656	50.514225006103516	79.63325	0.0	54.13785	7.562574
62	2018-04-15	979	china	shanghai	31.318099975585938	121.21573638916016	54.3425	0.0	65.74603	5.9077992
63	2018-04-29	980	azerbaijan	baku	40.38664245605469	49.816898345947266	58.136303	0.01968504	65.701805	22.314674
64	2018-05-13	981	spain	catalunya	41.581722259521484	2.207792282104492	54.8732	0.52362204	74.404686	5.910218
65	2018-05-27	982	monaco	monaco	43.760982513427734	7.477341651916504	75.38765	0.015748031	63.34665	6.825358
66	2018-06-10	983	canada	montreal	45.51845169067383	-73.46939086914062	59.907803	0.0	49.13672	5.4742103
67	2018-06-24	984	france	paul-ricard	43.268890380859375	5.784753322601318	67.84175	0.0	67.42421	4.25098
68	2018-07-01	985	austria	spielberg	47.205623626708984	14.828710556030273	58.453854	0.0	70.54593	3.3041468
69	2018-07-08	986	great-britain	silverstone	52.056236267089844	-0.992645263671875	71.84675	0.0	56.681377	6.9162574
70	2018-07-22	987	germany	hockenheimring	49.3145866394043	8.49056625366211	70.8494	0.07874015	77.85464	3.976242
71	2018-07-29	988	hungary	hungaroring	47.5571174621582	19.24342155456543	81.0353	0.0	55.597855	5.245091
72	2018-08-26	989	belgium	spa-francorchamps	50.43936538696289	5.873015880584717	54.42935	0.16141732	66.73644	8.736326
73	2018-09-02	990	italy	monza	45.588748931884766	9.339622497558594	63.41345	0.08267716	88.10626	2.150172
74	2018-09-16	991	singapore	marina-bay	1.3005272150039673	103.86256408691406	81.71645	0.047244094	75.24971	10.526568
75	2018-09-30	992	russia	sochi	43.409488677978516	40.0749626159668	68.2061	0.0	73.33224	3.4336693
76	2018-10-07	993	japan	suzuka	34.833038330078125	136.5399169921875	71.26775	0.0	72.98742	7.8615336
77	2018-10-21	994	united-states	austin	30.123022079467773	-97.67523193359375	63.50945	0.0	62.945545	11.065239
78	2018-10-28	995	mexico	mexico-city	19.43760871887207	-99.10714721679688	59.29115	0.07086614	76.959	5.115238
79	2018-11-11	996	brazil	interlagos	-23.7258358001709	-46.66314697265625	68.8394	0.062992126	89.64725	5.549619
80	2018-11-25	997	abu-dhabi	yas-marina	24.499120712280273	54.615386962890625	80.4776	0.023622049	61.138454	14.149262
81	2019-03-17	998	australia	melbourne	-37.85588836669922	145.01339721679688	67.5344	0.0	80.14493	6.324947
82	2019-03-31	999	bahrain	bahrain	26.045692443847656	50.514225006103516	78.16325	0.0	56.82945	18.504812
