year	round	driver	fuel_corrected_pace_pct	race_pace_std	avg_lap_time_sec	best_5lap_avg_sec	laps_completed	total_race_laps	completion_pct
2018	1	GAS	-2.019332951416323	4.081027272950294	93.18853846153846	90.9212	13	58	0.2241379310344827
2018	1	PER	-4.69946169664923	9.554419343488547	93.45	88.00519999999999	58	58	1.0
2018	1	ALO	-5.235805369200314	10.005311941450868	93.12360344827586	87.1754	58	58	1.0
2018	1	LEC	-5.010737142006699	7.736326707782282	93.949	89.071	58	58	1.0
2018	1	STR	-4.228257759325611	8.468036837456452	93.99260344827586	89.03540000000001	58	58	1.0
2018	1	VAN	-5.160664124549323	10.399704666618288	93.24489655172414	87.26520000000001	58	58	1.0
2018	1	MAG	0.515493836962899	1.5281545188014638	91.43031818181818	90.04659999999998	22	58	0.3793103448275862
2018	1	HUL	-4.48647011924418	10.32367109894892	93.20610344827584	87.29400000000001	58	58	1.0
2018	1	HAR	-6.087309512620816	9.30687499108392	94.66243859649124	88.30959999999999	57	58	0.9827586206896552
2018	1	RIC	-5.173958057185649	10.70585189087133	92.76468965517242	86.41720000000001	58	58	1.0
2018	1	OCO	-4.499962932760025	9.314203673633878	93.68208620689656	88.091	58	58	1.0
2018	1	VER	-4.962733830940426	10.596096239419383	93.14186206896552	87.15559999999999	58	58	1.0
2018	1	HAM	-2.954272763631499	13.018808645191012	92.72963793103447	86.56120000000001	58	58	1.0
2018	1	VET	-3.711911602405455	12.75500078999928	92.6428103448276	86.7112	58	58	1.0
2018	1	SAI	-4.160667947841016	9.81026592481897	93.43112068965516	88.11980000000001	58	58	1.0
2018	1	RAI	-3.657323508691083	12.704937727529442	92.75158620689656	86.583	58	58	1.0
2018	1	BOT	-5.395421094080761	10.283365669430804	93.23486206896553	87.21880000000002	58	58	1.0
2018	1	GRO	0.2147661265667912	1.8225083472756247	91.36991666666664	89.6904	24	58	0.4137931034482758
2018	2	GAS	-8.182066336594502	6.655708850444616	97.98323214285712	94.9636	56	57	0.9824561403508772
2018	2	PER	-9.644810809448176	6.325624481370609	99.13339285714284	95.2608	56	57	0.9824561403508772
2018	2	ALO	-7.693665857426623	6.593752668815553	98.6348214285714	94.3392	56	57	0.9824561403508772
2018	2	LEC	-9.689668099829737	5.5011164651716165	99.20669642857143	95.1886	56	57	0.9824561403508772
2018	2	STR	-8.319215715933352	5.800576892197292	99.1526909090909	96.0274	55	57	0.9649122807017544
2018	2	VAN	-8.227441492596684	6.352656069964473	98.805875	95.5022	56	57	0.9824561403508772
2018	2	MAG	-7.685258286029701	6.530619151119572	98.19273684210526	95.14860000000002	57	57	1.0
2018	2	HUL	-6.995066792838924	6.568343704840348	98.61340350877192	94.8298	57	57	1.0
2018	2	HAR	-8.307771230263732	7.244533895667733	99.133875	94.9616	56	57	0.9824561403508772
2018	2	OCO	-7.628256293160527	6.303337326316601	98.994375	95.4838	56	57	0.9824561403508772
2018	2	SIR	-8.757309983030522	6.406234700978816	99.63705357142858	94.9102	56	57	0.9824561403508772
2018	2	HAM	-8.268234719433053	6.027197187865528	97.01046428571428	94.3584	56	57	0.9824561403508772
2018	2	VET	-5.7931932487160935	6.079385141192281	96.88858928571427	94.6912	56	57	0.9824561403508772
2018	2	SAI	-7.113983593705206	6.2494115032511	99.1125892857143	96.00339999999998	56	57	0.9824561403508772
2018	2	RAI	-6.954993421348465	7.617030804269173	98.16364705882351	94.5614	34	57	0.5964912280701754
2018	2	BOT	-6.588640666934022	6.087110265844721	96.90201785714284	94.4994	56	57	0.9824561403508772
2018	2	GRO	-9.316831758668272	6.913432491740407	99.26867857142858	94.8482	56	57	0.9824561403508772
2018	2	ERI	-7.294778525605813	5.704922097279414	98.88492857142856	96.0142	56	57	0.9824561403508772
2018	3	RIC	-3.5226964066020305	9.569195379742558	100.4982962962963	96.4604	54	56	0.9642857142857144
2018	3	BOT	-1.945672097708316	9.711378040129851	100.4470925925926	97.1694	54	56	0.9642857142857144
2018	3	RAI	-2.8406125762640317	10.675398913053796	101.61700000000002	96.6714	55	56	0.9821428571428572
2018	3	HAM	-2.486717067280526	9.386942778013871	100.73324074074074	97.3238	54	56	0.9642857142857144
2018	3	VER	-2.8963070278215333	9.557532947858288	100.54940740740744	96.363	54	56	0.9642857142857144
2018	3	HUL	-3.704979023193209	9.25918450392873	101.9296181818182	97.0814	55	56	0.9821428571428572
2018	3	ALO	-4.068577352744534	10.00630912028878	102.98248214285717	97.549	56	56	1.0
2018	3	VET	-0.3474150198587803	9.687760563320124	100.96470370370372	97.5988	54	56	0.9642857142857144
2018	3	SAI	-3.2007193648111367	8.227782765078201	102.203	97.8176	55	56	0.9821428571428572
2018	3	MAG	-2.924768338590688	10.654406381781586	103.14239285714288	98.2958	56	56	1.0
2018	3	OCO	-3.4821372536713966	10.144566091673404	103.2219642857143	98.0706	56	56	1.0
2018	3	PER	-3.911756551484488	8.657542581409395	103.23401785714285	98.0174	56	56	1.0
2018	3	VAN	-3.951214850842175	9.581306235782174	103.31701785714286	98.3378	56	56	1.0
2018	3	STR	-3.4531046768773064	9.394412513263417	103.42625	98.682	56	56	1.0
2018	3	SIR	-3.820237184615074	8.723371191585937	103.475375	98.7526	56	56	1.0
2018	3	ERI	-4.60745788926749	4.27916675200171	101.60718518518522	98.5206	54	56	0.9642857142857144
2018	3	GRO	-2.0005482030630573	10.636479695661174	103.60135714285714	97.7168	56	56	1.0
2018	3	GAS	-4.166840410274094	5.880570827100029	102.36129090909093	98.7018	55	56	0.9821428571428572
2018	3	LEC	-2.919783833309398	3.515259953493996	101.87970370370373	99.4756	54	56	0.9642857142857144
2018	3	HAR	-3.1541891800783888	3.867395060578808	102.23510204081632	99.9666	49	56	0.875
2018	4	GAS	-2.1891802689683737	9.50154597393876	113.9166904761905	108.8228	42	51	0.8235294117647058
2018	4	PER	-3.0413998734223147	8.355081165344068	111.08578048780488	107.1856	41	51	0.803921568627451
2018	4	ALO	-11.693071705426346	5.476323739751339	112.77453658536588	107.8826	41	51	0.803921568627451
2018	4	LEC	-2.028283337012916	9.014266462200457	111.90134146341464	107.58400000000002	41	51	0.803921568627451
2018	4	STR	-1.4307080487593995	8.41089202546125	111.97097560975612	107.1546	41	51	0.803921568627451
2018	4	VAN	0.8778959793760869	9.804680981715066	114.66486046511628	109.149	43	51	0.8431372549019608
2018	4	MAG	-6.896562625467456	7.680368445017435	115.56711627906978	108.8642	43	51	0.8431372549019608
2018	4	HAR	-3.347048616783922	4.969091431762951	114.05440476190472	108.626	42	51	0.8235294117647058
2018	4	RIC	-6.072299578938592	8.337853867344444	109.7274	105.983	35	51	0.6862745098039216
