Year,Round,Session,Driver,CleanAirAvg,DirtyAirAvg,Delta,NumCleanLaps,NumDirtyLaps
2018,3,FP3,GRO,113.172,95.756,-17.415999999999997,2,1
2018,3,FP3,ERI,109.546,95.679,-13.867000000000004,4,1
2018,3,FP3,GAS,105.706125,95.079,-10.627125000000007,8,1
2018,3,FP3,PER,107.68833333333333,94.445,-13.24333333333334,9,1
2018,3,FP3,ALO,101.79166666666667,94.851,-6.940666666666672,3,1
2018,3,FP3,LEC,106.72999999999999,95.497,-11.23299999999999,5,1
2018,3,FP3,STR,104.280625,95.375,-8.905625,8,1
2018,3,FP3,MAG,100.77729411764706,94.329,-6.448294117647066,17,1
2018,3,FP3,HUL,102.64971428571428,94.841,-7.808714285714288,7,1
2018,3,FP3,HAR,102.4888,94.991,-7.497799999999998,10,1
2018,3,FP3,OCO,109.534,94.456,-15.078000000000003,11,1
2018,3,FP3,VER,104.80525,93.969,-10.836250000000007,8,1
2018,3,FP3,SIR,103.95228571428571,94.741,-9.211285714285708,7,1
2018,3,FP3,HAM,106.15657142857143,94.057,-12.099571428571423,7,1
2018,3,FP3,SAI,105.29681818181817,94.582,-10.714818181818174,11,1
2018,3,FP3,BOT,102.34700000000001,93.761,-8.586000000000013,8,1
2018,4,FP1,VAN,115.71799999999999,107.967,-7.750999999999991,11,1
2018,4,FP1,RIC,110.64439999999999,104.277,-6.367399999999989,15,1
2018,4,FP1,VET,116.80422222222222,106.513,-10.291222222222217,9,1
2018,4,FP1,RAI,113.20633333333335,106.861,-6.345333333333343,3,1
2018,4,FP1,GRO,110.45107142857144,106.856,-3.595071428571444,14,1
2018,4,FP1,ERI,116.38254545454546,107.073,-9.309545454545471,11,1
2018,4,FP1,GAS,112.13585714285715,106.492,-5.643857142857144,7,1
2018,4,FP1,PER,116.324,105.075,-11.248999999999995,13,1
2018,4,FP1,ALO,112.45075000000001,106.465,-5.98575000000001,12,1
2018,4,FP1,LEC,115.48825,106.875,-8.613249999999994,12,1
2018,4,FP1,STR,111.03070588235293,106.59,-4.44070588235293,17,1
2018,4,FP1,MAG,112.86110000000001,107.434,-5.42710000000001,10,1
2018,4,FP1,HUL,111.1625,106.749,-4.413499999999999,4,1
2018,4,FP1,HAR,113.40230434782609,106.747,-6.655304347826089,23,1
2018,4,FP1,OCO,112.42585714285714,105.237,-7.188857142857145,14,1
2018,4,FP1,VER,109.99242857142858,105.559,-4.433428571428578,7,1
2018,4,FP1,SIR,112.775625,106.48,-6.295625000000001,16,1
2018,4,FP1,HAM,113.4512,105.2,-8.251199999999997,15,1
2018,4,FP1,SAI,118.00075000000001,108.741,-9.259750000000011,4,1
