Driver	LapNumber	Position	round	year
STR	3.0	14.0	1	2018
STR	4.0	15.0	1	2018
STR	5.0	15.0	1	2018
STR	6.0	15.0	1	2018
STR	7.0	15.0	1	2018
STR	8.0	15.0	1	2018
STR	9.0	15.0	1	2018
STR	10.0	15.0	1	2018
STR	11.0	15.0	1	2018
STR	12.0	15.0	1	2018
STR	13.0	15.0	1	2018
STR	14.0	15.0	1	2018
STR	15.0	15.0	1	2018
STR	16.0	15.0	1	2018
STR	17.0	15.0	1	2018
STR	18.0	15.0	1	2018
STR	19.0	15.0	1	2018
STR	20.0	15.0	1	2018
STR	21.0	15.0	1	2018
STR	22.0	14.0	1	2018
STR	23.0	12.0	1	2018
STR	24.0	11.0	1	2018
STR	25.0	13.0	1	2018
STR	26.0	13.0	1	2018
STR	27.0	13.0	1	2018
STR	28.0	13.0	1	2018
STR	29.0	13.0	1	2018
STR	30.0	13.0	1	2018
STR	31.0	13.0	1	2018
STR	32.0	14.0	1	2018
STR	33.0	14.0	1	2018
STR	34.0	14.0	1	2018
STR	35.0	14.0	1	2018
STR	36.0	14.0	1	2018
STR	37.0	14.0	1	2018
STR	38.0	14.0	1	2018
STR	39.0	14.0	1	2018
STR	40.0	14.0	1	2018
STR	41.0	14.0	1	2018
STR	42.0	14.0	1	2018
STR	43.0	14.0	1	2018
STR	44.0	14.0	1	2018
STR	45.0	14.0	1	2018
STR	46.0	14.0	1	2018
STR	47.0	14.0	1	2018
STR	48.0	14.0	1	2018
STR	49.0	14.0	1	2018
STR	50.0	14.0	1	2018
STR	51.0	14.0	1	2018
STR	52.0	14.0	1	2018
STR	53.0	14.0	1	2018
STR	54.0	14.0	1	2018
STR	55.0	14.0	1	2018
STR	56.0	14.0	1	2018
STR	57.0	14.0	1	2018
STR	58.0	14.0	1	2018
VAN	1.0	11.0	1	2018
VAN	2.0	11.0	1	2018
VAN	3.0	11.0	1	2018
VAN	4.0	11.0	1	2018
VAN	5.0	11.0	1	2018
VAN	6.0	11.0	1	2018
VAN	7.0	11.0	1	2018
VAN	8.0	11.0	1	2018
VAN	9.0	11.0	1	2018
VAN	10.0	11.0	1	2018
VAN	11.0	11.0	1	2018
VAN	12.0	11.0	1	2018
VAN	13.0	11.0	1	2018
VAN	14.0	11.0	1	2018
VAN	15.0	11.0	1	2018
VAN	16.0	11.0	1	2018
VAN	17.0	11.0	1	2018
VAN	18.0	11.0	1	2018
VAN	19.0	11.0	1	2018
VAN	20.0	11.0	1	2018
VAN	21.0	10.0	1	2018
VAN	22.0	8.0	1	2018
VAN	23.0	8.0	1	2018
VAN	24.0	6.0	1	2018
VAN	25.0	7.0	1	2018
VAN	26.0	8.0	1	2018
VAN	27.0	8.0	1	2018
VAN	28.0	8.0	1	2018
VAN	29.0	8.0	1	2018
VAN	30.0	8.0	1	2018
VAN	31.0	8.0	1	2018
VAN	32.0	8.0	1	2018
VAN	33.0	8.0	1	2018
VAN	34.0	8.0	1	2018
VAN	35.0	9.0	1	2018
VAN	36.0	9.0	1	2018
VAN	37.0	9.0	1	2018
VAN	38.0	9.0	1	2018
VAN	39.0	9.0	1	2018
VAN	40.0	9.0	1	2018
VAN	41.0	9.0	1	2018
VAN	42.0	9.0	1	2018
VAN	43.0	9.0	1	2018
VAN	44.0	9.0	1	2018
VAN	45.0	9.0	1	2018
VAN	46.0	9.0	1	2018
VAN	47.0	9.0	1	2018
VAN	48.0	9.0	1	2018
VAN	49.0	9.0	1	2018
VAN	50.0	9.0	1	2018
VAN	51.0	9.0	1	2018
VAN	52.0	9.0	1	2018
VAN	53.0	9.0	1	2018
VAN	54.0	9.0	1	2018
VAN	55.0	9.0	1	2018
VAN	56.0	9.0	1	2018
VAN	57.0	9.0	1	2018
VAN	58.0	9.0	1	2018
MAG	1.0	4.0	1	2018
MAG	2.0	4.0	1	2018
MAG	3.0	4.0	1	2018
MAG	4.0	4.0	1	2018
MAG	5.0	4.0	1	2018
MAG	6.0	4.0	1	2018
MAG	7.0	4.0	1	2018
MAG	8.0	4.0	1	2018
MAG	9.0	4.0	1	2018
MAG	10.0	4.0	1	2018
MAG	11.0	4.0	1	2018
MAG	12.0	4.0	1	2018
MAG	13.0	4.0	1	2018
MAG	14.0	4.0	1	2018
MAG	15.0	4.0	1	2018
MAG	16.0	4.0	1	2018
MAG	17.0	4.0	1	2018
MAG	18.0	4.0	1	2018
MAG	19.0	4.0	1	2018
MAG	20.0	4.0	1	2018
MAG	21.0	4.0	1	2018
MAG	22.0	9.0	1	2018
HUL	1.0	7.0	1	2018
HUL	2.0	7.0	1	2018
HUL	3.0	7.0	1	2018
HUL	4.0	7.0	1	2018
HUL	5.0	8.0	1	2018
HUL	6.0	8.0	1	2018
HUL	7.0	8.0	1	2018
HUL	8.0	8.0	1	2018
HUL	9.0	8.0	1	2018
HUL	10.0	7.0	1	2018
HUL	11.0	7.0	1	2018
HUL	12.0	7.0	1	2018
HUL	13.0	7.0	1	2018
HUL	14.0	7.0	1	2018
HUL	15.0	7.0	1	2018
HUL	16.0	7.0	1	2018
HUL	17.0	7.0	1	2018
HUL	18.0	7.0	1	2018
HUL	19.0	7.0	1	2018
HUL	20.0	7.0	1	2018
HUL	21.0	7.0	1	2018
HUL	22.0	6.0	1	2018
HUL	23.0	6.0	1	2018
HUL	24.0	10.0	1	2018
HUL	25.0	8.0	1	2018
HUL	26.0	7.0	1	2018
HUL	27.0	7.0	1	2018
HUL	28.0	7.0	1	2018
HUL	29.0	7.0	1	2018
HUL	30.0	7.0	1	2018
HUL	31.0	7.0	1	2018
HUL	32.0	7.0	1	2018
HUL	33.0	7.0	1	2018
HUL	34.0	7.0	1	2018
HUL	35.0	7.0	1	2018
HUL	36.0	7.0	1	2018
HUL	37.0	7.0	1	2018
HUL	38.0	7.0	1	2018
HUL	39.0	7.0	1	2018
HUL	40.0	7.0	1	2018
HUL	41.0	7.0	1	2018
HUL	42.0	7.0	1	2018
HUL	43.0	7.0	1	2018
HUL	44.0	7.0	1	2018
HUL	45.0	7.0	1	2018
HUL	46.0	7.0	1	2018
HUL	47.0	7.0	1	2018
HUL	48.0	7.0	1	2018
HUL	49.0	7.0	1	2018
HUL	50.0	7.0	1	2018
HUL	51.0	7.0	1	2018
HUL	52.0	7.0	1	2018
HUL	53.0	7.0	1	2018
HUL	54.0	7.0	1	2018
HUL	55.0	7.0	1	2018
HUL	56.0	7.0	1	2018
HUL	57.0	7.0	1	2018
HUL	58.0	7.0	1	2018
HAR	1.0	20.0	1	2018
HAR	2.0	20.0	1	2018
HAR	3.0	20.0	1	2018
HAR	4.0	20.0	1	2018
HAR	5.0	19.0	1	2018
HAR	6.0	19.0	1	2018
HAR	7.0	18.0	1	2018
HAR	8.0	18.0	1	2018
HAR	9.0	18.0	1	2018
HAR	10.0	18.0	1	2018
HAR	11.0	18.0	1	2018
HAR	12.0	18.0	1	2018
HAR	13.0	18.0	1	2018
HAR	14.0	17.0	1	2018
HAR	15.0	17.0	1	2018
HAR	16.0	17.0	1	2018
HAR	17.0	17.0	1	2018
HAR	18.0	17.0	1	2018
HAR	19.0	17.0	1	2018
HAR	20.0	16.0	1	2018
HAR	21.0	16.0	1	2018
HAR	22.0	17.0	1	2018
HAR	23.0	16.0	1	2018
HAR	24.0	16.0	1	2018
HAR	25.0	15.0	1	2018
HAR	26.0	15.0	1	2018
HAR	27.0	15.0	1	2018
HAR	28.0	15.0	1	2018
HAR	29.0	15.0	1	2018
HAR	30.0	15.0	1	2018
HAR	31.0	15.0	1	2018
HAR	32.0	15.0	1	2018
HAR	33.0	15.0	1	2018
HAR	34.0	15.0	1	2018
HAR	35.0	15.0	1	2018
HAR	36.0	15.0	1	2018
HAR	37.0	15.0	1	2018
HAR	38.0	15.0	1	2018
HAR	39.0	15.0	1	2018
HAR	40.0	15.0	1	2018
HAR	41.0	15.0	1	2018
HAR	42.0	15.0	1	2018
HAR	43.0	15.0	1	2018
HAR	44.0	15.0	1	2018
HAR	45.0	15.0	1	2018
HAR	46.0	15.0	1	2018
HAR	47.0	15.0	1	2018
HAR	48.0	15.0	1	2018
HAR	49.0	15.0	1	2018
HAR	50.0	15.0	1	2018
HAR	51.0	15.0	1	2018
HAR	52.0	15.0	1	2018
HAR	53.0	15.0	1	2018
HAR	54.0	15.0	1	2018
HAR	55.0	15.0	1	2018
HAR	56.0	15.0	1	2018
HAR	57.0	15.0	1	2018
RIC	1.0	8.0	1	2018
RIC	2.0	8.0	1	2018
RIC	3.0	8.0	1	2018
RIC	4.0	8.0	1	2018
RIC	5.0	7.0	1	2018
RIC	6.0	7.0	1	2018
RIC	7.0	7.0	1	2018
RIC	8.0	7.0	1	2018
RIC	9.0	7.0	1	2018
RIC	10.0	6.0	1	2018
RIC	11.0	6.0	1	2018
RIC	12.0	6.0	1	2018
RIC	13.0	6.0	1	2018
RIC	14.0	6.0	1	2018
RIC	15.0	6.0	1	2018
RIC	16.0	6.0	1	2018
RIC	17.0	6.0	1	2018
RIC	18.0	6.0	1	2018
RIC	19.0	6.0	1	2018
RIC	20.0	6.0	1	2018
RIC	21.0	6.0	1	2018
RIC	22.0	5.0	1	2018
RIC	23.0	5.0	1	2018
RIC	24.0	4.0	1	2018
RIC	25.0	4.0	1	2018
RIC	26.0	4.0	1	2018
RIC	27.0	4.0	1	2018
RIC	28.0	4.0	1	2018
RIC	29.0	4.0	1	2018
RIC	30.0	4.0	1	2018
RIC	31.0	4.0	1	2018
RIC	32.0	4.0	1	2018
RIC	33.0	4.0	1	2018
RIC	34.0	4.0	1	2018
RIC	35.0	4.0	1	2018
RIC	36.0	4.0	1	2018
RIC	37.0	4.0	1	2018
RIC	38.0	4.0	1	2018
RIC	39.0	4.0	1	2018
RIC	40.0	4.0	1	2018
RIC	41.0	4.0	1	2018
RIC	42.0	4.0	1	2018
RIC	43.0	4.0	1	2018
RIC	44.0	4.0	1	2018
RIC	45.0	4.0	1	2018
RIC	46.0	4.0	1	2018
RIC	47.0	4.0	1	2018
RIC	48.0	4.0	1	2018
RIC	49.0	4.0	1	2018
RIC	50.0	4.0	1	2018
RIC	51.0	4.0	1	2018
RIC	52.0	4.0	1	2018
RIC	53.0	4.0	1	2018
RIC	54.0	4.0	1	2018
RIC	55.0	4.0	1	2018
RIC	56.0	4.0	1	2018
RIC	57.0	4.0	1	2018
RIC	58.0	4.0	1	2018
OCO	1.0	13.0	1	2018
OCO	2.0	13.0	1	2018
OCO	3.0	13.0	1	2018
OCO	4.0	13.0	1	2018
OCO	5.0	13.0	1	2018
OCO	6.0	13.0	1	2018
OCO	7.0	13.0	1	2018
OCO	8.0	13.0	1	2018
OCO	9.0	14.0	1	2018
OCO	10.0	14.0	1	2018
OCO	11.0	14.0	1	2018
OCO	12.0	14.0	1	2018
OCO	13.0	14.0	1	2018
OCO	14.0	14.0	1	2018
OCO	15.0	14.0	1	2018
OCO	16.0	14.0	1	2018
OCO	17.0	14.0	1	2018
OCO	18.0	14.0	1	2018
OCO	19.0	14.0	1	2018
OCO	20.0	14.0	1	2018
OCO	21.0	14.0	1	2018
OCO	22.0	12.0	1	2018
OCO	23.0	14.0	1	2018
OCO	24.0	14.0	1	2018
OCO	25.0	12.0	1	2018
OCO	26.0	12.0	1	2018
OCO	27.0	12.0	1	2018
OCO	28.0	12.0	1	2018
OCO	29.0	12.0	1	2018
OCO	30.0	12.0	1	2018
OCO	31.0	12.0	1	2018
OCO	32.0	12.0	1	2018
OCO	33.0	12.0	1	2018
OCO	34.0	12.0	1	2018
OCO	35.0	12.0	1	2018
OCO	36.0	12.0	1	2018
OCO	37.0	12.0	1	2018
OCO	38.0	12.0	1	2018
OCO	39.0	12.0	1	2018
OCO	40.0	12.0	1	2018
OCO	41.0	12.0	1	2018
OCO	42.0	12.0	1	2018
OCO	43.0	12.0	1	2018
OCO	44.0	12.0	1	2018
OCO	45.0	12.0	1	2018
OCO	46.0	12.0	1	2018
OCO	47.0	12.0	1	2018
OCO	48.0	12.0	1	2018
OCO	49.0	12.0	1	2018
OCO	50.0	12.0	1	2018
OCO	51.0	12.0	1	2018
OCO	52.0	12.0	1	2018
OCO	53.0	12.0	1	2018
OCO	54.0	12.0	1	2018
OCO	55.0	12.0	1	2018
OCO	56.0	12.0	1	2018
OCO	57.0	12.0	1	2018
OCO	58.0	12.0	1	2018
VER	1.0	5.0	1	2018
VER	2.0	5.0	1	2018
VER	3.0	5.0	1	2018
VER	4.0	5.0	1	2018
VER	5.0	5.0	1	2018
VER	6.0	5.0	1	2018
VER	7.0	5.0	1	2018
VER	8.0	5.0	1	2018
VER	9.0	5.0	1	2018
VER	10.0	8.0	1	2018
VER	11.0	8.0	1	2018
VER	12.0	8.0	1	2018
VER	13.0	8.0	1	2018
VER	14.0	8.0	1	2018
VER	15.0	8.0	1	2018
VER	16.0	8.0	1	2018
VER	17.0	8.0	1	2018
VER	18.0	8.0	1	2018
VER	19.0	8.0	1	2018
VER	20.0	8.0	1	2018
VER	21.0	13.0	1	2018
VER	22.0	13.0	1	2018
VER	23.0	11.0	1	2018
VER	24.0	9.0	1	2018
VER	25.0	6.0	1	2018
VER	26.0	6.0	1	2018
VER	27.0	5.0	1	2018
VER	28.0	5.0	1	2018
VER	29.0	5.0	1	2018
VER	30.0	5.0	1	2018
VER	31.0	6.0	1	2018
VER	32.0	6.0	1	2018
VER	33.0	6.0	1	2018
VER	34.0	6.0	1	2018
VER	35.0	6.0	1	2018
VER	36.0	6.0	1	2018
VER	37.0	6.0	1	2018
VER	38.0	6.0	1	2018
VER	39.0	6.0	1	2018
VER	40.0	6.0	1	2018
VER	41.0	6.0	1	2018
VER	42.0	6.0	1	2018
VER	43.0	6.0	1	2018
VER	44.0	6.0	1	2018
VER	45.0	6.0	1	2018
VER	46.0	6.0	1	2018
VER	47.0	6.0	1	2018
VER	48.0	6.0	1	2018
VER	49.0	6.0	1	2018
VER	50.0	6.0	1	2018
VER	51.0	6.0	1	2018
VER	52.0	6.0	1	2018
VER	53.0	6.0	1	2018
VER	54.0	6.0	1	2018
VER	55.0	6.0	1	2018
VER	56.0	6.0	1	2018
VER	57.0	6.0	1	2018
VER	58.0	6.0	1	2018
SIR	1.0	19.0	1	2018
SIR	2.0	19.0	1	2018
SIR	3.0	19.0	1	2018
SIR	4.0	19.0	1	2018
SIR	5.0		1	2018
HAM	1.0	1.0	1	2018
HAM	2.0	1.0	1	2018
HAM	3.0	1.0	1	2018
HAM	4.0	1.0	1	2018
HAM	5.0	1.0	1	2018
HAM	6.0	1.0	1	2018
HAM	7.0	1.0	1	2018
HAM	8.0	1.0	1	2018
HAM	9.0	1.0	1	2018
HAM	10.0	1.0	1	2018
HAM	11.0	1.0	1	2018
HAM	12.0	1.0	1	2018
HAM	13.0	1.0	1	2018
HAM	14.0	1.0	1	2018
HAM	15.0	1.0	1	2018
HAM	16.0	1.0	1	2018
HAM	17.0	1.0	1	2018
HAM	18.0	1.0	1	2018
HAM	19.0	2.0	1	2018
HAM	20.0	2.0	1	2018
HAM	21.0	2.0	1	2018
HAM	22.0	2.0	1	2018
HAM	23.0	2.0	1	2018
HAM	24.0	2.0	1	2018
HAM	25.0	2.0	1	2018
HAM	26.0	2.0	1	2018
HAM	27.0	2.0	1	2018
HAM	28.0	2.0	1	2018
HAM	29.0	2.0	1	2018
HAM	30.0	2.0	1	2018
HAM	31.0	2.0	1	2018
HAM	32.0	2.0	1	2018
HAM	33.0	2.0	1	2018
HAM	34.0	2.0	1	2018
HAM	35.0	2.0	1	2018
HAM	36.0	2.0	1	2018
HAM	37.0	2.0	1	2018
HAM	38.0	2.0	1	2018
HAM	39.0	2.0	1	2018
HAM	40.0	2.0	1	2018
HAM	41.0	2.0	1	2018
HAM	42.0	2.0	1	2018
HAM	43.0	2.0	1	2018
HAM	44.0	2.0	1	2018
HAM	45.0	2.0	1	2018
HAM	46.0	2.0	1	2018
HAM	47.0	2.0	1	2018
HAM	48.0	2.0	1	2018
HAM	49.0	2.0	1	2018
HAM	50.0	2.0	1	2018
HAM	51.0	2.0	1	2018
HAM	52.0	2.0	1	2018
HAM	53.0	2.0	1	2018
HAM	54.0	2.0	1	2018
HAM	55.0	2.0	1	2018
HAM	56.0	2.0	1	2018
HAM	57.0	2.0	1	2018
