circuitId	altitude_m
mexico-city	2285
interlagos	792
austin	148
spielberg	660
suzuka	40
silverstone	153
monza	160
monaco	7
spa-francorchamps	400
baku	-28
jeddah	15
bahrain	5
melbourne	10
hungaroring	247
zandvoort	4
lusail	8
marina-bay	10
yas-marina	0
