date_hourly	latitude_hourly	longitude_hourly	temperature_2m	hourly_precipitation	relative_humidity_2m	short_date	wind_speed_10m	id_races	hourly_precipitation_probability	grandPrixId	circuitId
2015-03-29 14:00:00+00:00	2.776801347732544	101.7108383178711	78.836	0.0	83.31507	2015-03-29	4.0328093	918		malaysia	sepang
2015-03-29 15:00:00+00:00	2.776801347732544	101.7108383178711	78.386	0.0	85.0711	2015-03-29	2.9166913	918		malaysia	sepang
2015-03-29 16:00:00+00:00	2.776801347732544	101.7108383178711	78.026	0.0	86.34718	2015-03-29	2.237	918		malaysia	sepang
2015-03-29 17:00:00+00:00	2.776801347732544	101.7108383178711	77.396	0.0	87.89639	2015-03-29	1.7471529	918		malaysia	sepang
2015-03-29 18:00:00+00:00	2.776801347732544	101.7108383178711	76.766	0.0	89.47815	2015-03-29	1.6131237	918		malaysia	sepang
2015-03-29 19:00:00+00:00	2.776801347732544	101.7108383178711	78.296005	0.0	85.841156	2015-03-29	1.0004169	918		malaysia	sepang
2015-03-29 20:00:00+00:00	2.776801347732544	101.7108383178711	76.316	0.0	91.9295	2015-03-29	1.9112936	918		malaysia	sepang
2015-03-29 21:00:00+00:00	2.776801347732544	101.7108383178711	75.326004	0.0	94.43676	2015-03-29	2.9845302	918		malaysia	sepang
2015-03-29 22:00:00+00:00	2.776801347732544	101.7108383178711	75.236	0.0	94.434746	2015-03-29	3.5370073	918		malaysia	sepang
2015-03-29 23:00:00+00:00	2.776801347732544	101.7108383178711	74.87601	0.0	95.000175	2015-03-29	2.9081001	918		malaysia	sepang
2015-04-12 00:00:00+00:00	31.318099975585938	121.21573638916016	55.58	0.0	81.20228	2015-04-12	6.651079	919		china	shanghai
2015-04-12 01:00:00+00:00	31.318099975585938	121.21573638916016	57.92	0.0	71.2016	2015-04-12	7.5164537	919		china	shanghai
2015-04-12 02:00:00+00:00	31.318099975585938	121.21573638916016	59.719997	0.0	62.400024	2015-04-12	7.8294992	919		china	shanghai
2015-04-12 03:00:00+00:00	31.318099975585938	121.21573638916016	62.42	0.0	53.887104	2015-04-12	8.009584	919		china	shanghai
2015-04-12 04:00:00+00:00	31.318099975585938	121.21573638916016	64.4	0.0	48.916218	2015-04-12	7.5695267	919		china	shanghai
2015-04-12 05:00:00+00:00	31.318099975585938	121.21573638916016	65.66	0.0	46.655884	2015-04-12	7.5197816	919		china	shanghai
2015-04-12 06:00:00+00:00	31.318099975585938	121.21573638916016	66.29	0.0	45.960857	2015-04-12	7.0029173	919		china	shanghai
2015-04-12 07:00:00+00:00	31.318099975585938	121.21573638916016	66.92	0.0	47.6539	2015-04-12	6.6095686	919		china	shanghai
2015-04-12 08:00:00+00:00	31.318099975585938	121.21573638916016	66.380005	0.0	49.049664	2015-04-12	6.502709	919		china	shanghai
