Year,Round,Driver,LapNumber,PitInTime,PitOutTime,LapTime
2024,23,10,37.0,0 days 01:53:50.472000,0 days 01:51:52.820000,0 days 00:02:21.304000
2024,23,55,37.0,0 days 01:53:53.002000,0 days 01:52:04.570000,0 days 00:02:13.402000
2024,23,14,36.0,0 days 01:51:44.862000,0 days 01:49:47.180000,0 days 00:02:26.362000
2024,23,14,37.0,0 days 01:53:59.448000,0 days 01:52:13.401000,0 days 00:02:15.542000
2024,23,24,36.0,0 days 01:51:46.695000,0 days 01:49:50.432000,0 days 00:02:26.390000
2024,23,24,37.0,0 days 01:53:54.687000,0 days 01:52:09.972000,0 days 00:02:09.664000
2024,23,20,37.0,0 days 01:53:59.843000,0 days 01:52:13.496000,0 days 00:02:10.074000
2024,23,4,36.0,0 days 01:50:54.535000,0 days 01:48:33.018000,
2024,23,4,37.0,0 days 01:53:41.289000,0 days 01:51:20.116000,
2024,23,77,36.0,0 days 01:53:43.053000,0 days 01:51:22.081000,
2024,23,44,35.0,0 days 01:50:51.672000,0 days 01:48:31.837000,
2024,23,44,36.0,0 days 01:53:40.728000,0 days 01:51:15.301000,
2024,23,22,36.0,0 days 01:52:04.342000,0 days 01:50:10.140000,0 days 00:02:23.242000
2024,23,22,37.0,0 days 01:54:02.304000,0 days 01:52:27.163000,0 days 00:01:58.996000
2024,23,30,36.0,0 days 01:52:25.437000,0 days 01:50:31.009000,
2024,23,30,37.0,0 days 01:54:21.128000,0 days 01:52:48.202000,0 days 00:01:55.739000
2024,23,23,36.0,0 days 01:52:06.082000,0 days 01:50:12.541000,0 days 00:02:22.739000
2024,23,23,37.0,0 days 01:54:03.427000,0 days 01:52:28.715000,0 days 00:01:58.603000
2024,23,27,37.0,0 days 01:54:05.578000,0 days 01:52:31.352000,0 days 00:01:59.627000
2024,23,11,36.0,0 days 01:51:10.874000,0 days 01:49:15.391000,0 days 00:02:23.642000
2024,23,11,37.0,0 days 01:53:48.007000,0 days 01:51:33.680000,
2024,23,18,8.0,0 days 01:10:57.663000,0 days 01:09:18.818000,0 days 00:02:20.862000
2024,24,20,30.0,0 days 01:43:34.109000,0 days 01:41:53.698000,0 days 00:02:01.980000
2024,24,30,24.0,0 days 01:34:14.232000,0 days 01:32:41.180000,0 days 00:01:56.467000
